team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Washington Wizards,New Orleans Pelicans,122,142,-20,Wizards,Pelicans,0
Miami Heat,Charlotte Hornets,115,104,11,Heat,Hornets,0
Toronto Raptors,Atlanta Hawks,135,128,7,Raptors,Hawks,0
San Antonio Spurs,Los Angeles Lakers,119,122,-3,Spurs,Lakers,0
Milwaukee Bucks,Indiana Pacers,140,126,14,Bucks,Pacers,0
Houston Rockets,Memphis Grizzlies,117,104,13,Rockets,Grizzlies,0
Utah Jazz,New York Knicks,117,113,4,Jazz,Knicks,0
Phoenix Suns,Brooklyn Nets,112,116,-4,Suns,Nets,0
Boston Celtics,Cleveland Cavaliers,116,107,9,Celtics,Cavaliers,0
Miami Heat,Chicago Bulls,116,124,-8,Heat,Bulls,0
Dallas Mavericks,Minnesota Timberwolves,101,119,-18,Mavericks,Timberwolves,0
Denver Nuggets,Brooklyn Nets,124,101,23,Nuggets,Nets,0
Portland Trail Blazers,Utah Jazz,114,122,-8,Blazers,Jazz,0
Sacramento Kings,Oklahoma City Thunder,128,123,5,Kings,Thunder,0
LA Clippers,Golden State Warriors,121,113,8,Clippers,Warriors,0
Philadelphia 76ers,Detroit Pistons,124,92,32,76ers,Pistons,0
Washington Wizards,Indiana Pacers,137,123,14,Wizards,Pacers,0
Charlotte Hornets,New Orleans Pelicans,107,112,-5,Hornets,Pelicans,0
Boston Celtics,Orlando Magic,128,111,17,Celtics,Magic,0
San Antonio Spurs,Los Angeles Lakers,129,115,14,Spurs,Lakers,0
Toronto Raptors,Atlanta Hawks,104,125,-21,Raptors,Hawks,0
Memphis Grizzlies,Houston Rockets,96,103,-7,Grizzlies,Rockets,0
Phoenix Suns,New York Knicks,122,139,-17,Suns,Knicks,0
Milwaukee Bucks,Detroit Pistons,146,114,32,Bucks,Pistons,0
Charlotte Hornets,Philadelphia 76ers,82,135,-53,Hornets,76ers,0
Cleveland Cavaliers,Atlanta Hawks,127,119,8,Cavaliers,Hawks,0
Minnesota Timberwolves,Indiana Pacers,127,109,18,Timberwolves,Pacers,0
Miami Heat,Chicago Bulls,118,116,2,Heat,Bulls,0
Golden State Warriors,Brooklyn Nets,124,120,4,Warriors,Nets,0
Denver Nuggets,Oklahoma City Thunder,117,118,-1,Nuggets,Thunder,0
Portland Trail Blazers,Dallas Mavericks,120,131,-11,Blazers,Mavericks,0
Sacramento Kings,Utah Jazz,125,104,21,Kings,Jazz,0
LA Clippers,New York Knicks,144,122,22,Clippers,Knicks,0
Boston Celtics,Orlando Magic,114,97,17,Celtics,Magic,0
San Antonio Spurs,New Orleans Pelicans,110,146,-36,Spurs,Pelicans,0
Milwaukee Bucks,Houston Rockets,128,119,9,Bucks,Rockets,0
Phoenix Suns,Washington Wizards,112,108,4,Suns,Wizards,0
Portland Trail Blazers,Golden State Warriors,114,118,-4,Blazers,Warriors,0
Indiana Pacers,LA Clippers,127,151,-24,Pacers,Clippers,0
Cleveland Cavaliers,Houston Rockets,135,130,5,Cavaliers,Rockets,0
Philadelphia 76ers,Chicago Bulls,104,108,-4,76ers,Bulls,0
Miami Heat,Minnesota Timberwolves,108,112,-4,Heat,Timberwolves,0
Toronto Raptors,Charlotte Hornets,114,99,15,Raptors,Hornets,0
Atlanta Hawks,Detroit Pistons,130,124,6,Hawks,Pistons,0
Oklahoma City Thunder,Memphis Grizzlies,116,97,19,Thunder,Grizzlies,0
Denver Nuggets,Dallas Mavericks,130,104,26,Nuggets,Mavericks,0
Utah Jazz,Brooklyn Nets,125,108,17,Jazz,Nets,0
Sacramento Kings,Washington Wizards,143,131,12,Kings,Wizards,0
Los Angeles Lakers,New York Knicks,109,114,-5,Lakers,Knicks,0
New Orleans Pelicans,Memphis Grizzlies,113,115,-2,Pelicans,Grizzlies,0
Milwaukee Bucks,San Antonio Spurs,132,119,13,Bucks,Spurs,0
Portland Trail Blazers,Phoenix Suns,109,104,5,Blazers,Suns,0
Golden State Warriors,Boston Celtics,132,126,6,Warriors,Celtics,0
Indiana Pacers,Charlotte Hornets,144,113,31,Pacers,Hornets,0
Orlando Magic,Miami Heat,106,115,-9,Magic,Heat,0
Philadelphia 76ers,Minnesota Timberwolves,127,113,14,76ers,Timberwolves,0
Cleveland Cavaliers,Utah Jazz,124,116,8,Cavaliers,Jazz,0
Brooklyn Nets,New York Knicks,102,121,-19,Nets,Knicks,0
Toronto Raptors,Denver Nuggets,104,113,-9,Raptors,Nuggets,0
Houston Rockets,Atlanta Hawks,127,134,-7,Rockets,Hawks,0
Chicago Bulls,Los Angeles Lakers,124,108,16,Bulls,Lakers,0
Dallas Mavericks,LA Clippers,111,120,-9,Mavericks,Clippers,0
Sacramento Kings,Boston Celtics,119,144,-25,Kings,Celtics,0
Detroit Pistons,Utah Jazz,111,119,-8,Pistons,Jazz,0
Cleveland Cavaliers,New Orleans Pelicans,104,123,-19,Cavaliers,Pelicans,0
Milwaukee Bucks,Orlando Magic,118,114,4,Bucks,Magic,0
Chicago Bulls,San Antonio Spurs,114,95,19,Bulls,Spurs,0
Memphis Grizzlies,Indiana Pacers,116,103,13,Grizzlies,Pacers,0
Oklahoma City Thunder,LA Clippers,134,115,19,Thunder,Clippers,0
Minnesota Timberwolves,Los Angeles Lakers,118,111,7,Timberwolves,Lakers,0
Portland Trail Blazers,Washington Wizards,117,118,-1,Blazers,Wizards,0
Philadelphia 76ers,Toronto Raptors,121,111,10,76ers,Raptors,0
Brooklyn Nets,Denver Nuggets,117,122,-5,Nets,Nuggets,0
Miami Heat,Atlanta Hawks,122,113,9,Heat,Hawks,0
Houston Rockets,Dallas Mavericks,122,96,26,Rockets,Mavericks,0
Sacramento Kings,Phoenix Suns,120,105,15,Kings,Suns,0
Golden State Warriors,Washington Wizards,129,118,11,Warriors,Wizards,0
New York Knicks,Milwaukee Bucks,111,130,-19,Knicks,Bucks,0
LA Clippers,Boston Celtics,108,145,-37,Clippers,Celtics,0
New Orleans Pelicans,Houston Rockets,104,106,-2,Pelicans,Rockets,0
Charlotte Hornets,Denver Nuggets,95,102,-7,Hornets,Nuggets,0
Indiana Pacers,Orlando Magic,110,117,-7,Pacers,Magic,0
Toronto Raptors,Utah Jazz,119,126,-7,Raptors,Jazz,0
Brooklyn Nets,Detroit Pistons,126,115,11,Nets,Pistons,0
Atlanta Hawks,Memphis Grizzlies,119,125,-6,Hawks,Grizzlies,0
Chicago Bulls,Cleveland Cavaliers,95,109,-14,Bulls,Cavaliers,0
Oklahoma City Thunder,Los Angeles Lakers,120,129,-9,Thunder,Lakers,0
Golden State Warriors,Portland Trail Blazers,126,106,20,Warriors,Blazers,0
Dallas Mavericks,San Antonio Spurs,144,119,25,Mavericks,Spurs,0
Sacramento Kings,Minnesota Timberwolves,98,110,-12,Kings,Timberwolves,0
New York Knicks,Milwaukee Bucks,129,122,7,Knicks,Bucks,0
Denver Nuggets,Golden State Warriors,120,114,6,Nuggets,Warriors,0
Los Angeles Lakers,Boston Celtics,115,126,-11,Lakers,Celtics,0
Miami Heat,Philadelphia 76ers,119,113,6,Heat,76ers,0
Phoenix Suns,Dallas Mavericks,114,128,-14,Suns,Mavericks,0
Washington Wizards,Orlando Magic,119,127,-8,Wizards,Magic,0
Detroit Pistons,Brooklyn Nets,112,118,-6,Pistons,Nets,0
San Antonio Spurs,Utah Jazz,118,130,-12,Spurs,Jazz,0
Chicago Bulls,Atlanta Hawks,118,113,5,Bulls,Hawks,0
Houston Rockets,Indiana Pacers,117,123,-6,Rockets,Pacers,0
New Orleans Pelicans,Memphis Grizzlies,115,116,-1,Pelicans,Grizzlies,0
Oklahoma City Thunder,Minnesota Timberwolves,129,106,23,Thunder,Timberwolves,0
Portland Trail Blazers,Sacramento Kings,130,113,17,Blazers,Kings,0
LA Clippers,Charlotte Hornets,113,104,9,Clippers,Hornets,0
Washington Wizards,Toronto Raptors,102,132,-30,Wizards,Raptors,0
Orlando Magic,Philadelphia 76ers,92,112,-20,Magic,76ers,0
Brooklyn Nets,Milwaukee Bucks,122,144,-22,Nets,Bucks,0
Houston Rockets,Phoenix Suns,113,129,-16,Rockets,Suns,0
Oklahoma City Thunder,New York Knicks,129,120,9,Thunder,Knicks,0
Dallas Mavericks,Cleveland Cavaliers,110,113,-3,Mavericks,Cavaliers,0
Boston Celtics,Detroit Pistons,128,122,6,Celtics,Pistons,0
New Orleans Pelicans,Utah Jazz,112,105,7,Pelicans,Jazz,0
Minnesota Timberwolves,Dallas Mavericks,118,110,8,Timberwolves,Mavericks,0
Chicago Bulls,Indiana Pacers,104,120,-16,Bulls,Pacers,0
Denver Nuggets,Memphis Grizzlies,142,105,37,Nuggets,Grizzlies,0
Golden State Warriors,Miami Heat,102,114,-12,Warriors,Heat,0
Portland Trail Blazers,San Antonio Spurs,105,118,-13,Blazers,Spurs,0
Los Angeles Lakers,Charlotte Hornets,133,112,21,Lakers,Hornets,0
Orlando Magic,New York Knicks,117,108,9,Magic,Knicks,0
Washington Wizards,Brooklyn Nets,110,104,6,Wizards,Nets,0
Cleveland Cavaliers,Milwaukee Bucks,111,119,-8,Cavaliers,Bucks,0
Atlanta Hawks,Sacramento Kings,110,117,-7,Hawks,Kings,0
Boston Celtics,Toronto Raptors,120,118,2,Celtics,Raptors,0
Houston Rockets,Philadelphia 76ers,127,131,-4,Rockets,76ers,0
Denver Nuggets,Oklahoma City Thunder,93,119,-26,Nuggets,Thunder,0
Phoenix Suns,Charlotte Hornets,133,119,14,Suns,Hornets,0
Portland Trail Blazers,San Antonio Spurs,134,128,6,Blazers,Spurs,0
LA Clippers,Memphis Grizzlies,117,106,11,Clippers,Grizzlies,0
Utah Jazz,Miami Heat,117,109,8,Jazz,Heat,0
Detroit Pistons,Toronto Raptors,129,127,2,Pistons,Raptors,0
Indiana Pacers,New York Knicks,140,126,14,Pacers,Knicks,0
Minnesota Timberwolves,Los Angeles Lakers,108,106,2,Timberwolves,Lakers,0
Chicago Bulls,Philadelphia 76ers,105,92,13,Bulls,76ers,0
Golden State Warriors,Dallas Mavericks,122,132,-10,Warriors,Mavericks,0
Washington Wizards,Atlanta Hawks,126,130,-4,Wizards,Hawks,0
San Antonio Spurs,Boston Celtics,101,134,-33,Spurs,Celtics,0
New Orleans Pelicans,Los Angeles Lakers,129,109,20,Pelicans,Lakers,0
Oklahoma City Thunder,Brooklyn Nets,124,108,16,Thunder,Nets,0
Memphis Grizzlies,Sacramento Kings,92,123,-31,Grizzlies,Kings,0
Phoenix Suns,Orlando Magic,112,107,5,Suns,Magic,0
New York Knicks,Minnesota Timberwolves,112,106,6,Knicks,Timberwolves,0
Toronto Raptors,Cleveland Cavaliers,124,121,3,Raptors,Cavaliers,0
Milwaukee Bucks,Indiana Pacers,113,122,-9,Bucks,Pacers,0
Houston Rockets,Detroit Pistons,136,113,23,Rockets,Pistons,0
Denver Nuggets,Charlotte Hornets,111,93,18,Nuggets,Hornets,0
Phoenix Suns,Portland Trail Blazers,109,88,21,Suns,Blazers,0
Utah Jazz,Dallas Mavericks,127,90,37,Jazz,Mavericks,0
LA Clippers,Miami Heat,121,104,17,Clippers,Heat,0
Philadelphia 76ers,Chicago Bulls,110,97,13,76ers,Bulls,0
New Orleans Pelicans,Brooklyn Nets,112,85,27,Pelicans,Nets,0
Memphis Grizzlies,San Antonio Spurs,106,98,8,Grizzlies,Spurs,0
Oklahoma City Thunder,Boston Celtics,127,123,4,Thunder,Celtics,0
Golden State Warriors,Orlando Magic,121,115,6,Warriors,Magic,0
Sacramento Kings,Charlotte Hornets,104,111,-7,Kings,Hornets,0
Cleveland Cavaliers,Washington Wizards,140,101,39,Cavaliers,Wizards,0
Indiana Pacers,Milwaukee Bucks,142,130,12,Pacers,Bucks,0
Atlanta Hawks,Oklahoma City Thunder,141,138,3,Hawks,Thunder,0
Houston Rockets,Brooklyn Nets,112,101,11,Rockets,Nets,0
Minnesota Timberwolves,New Orleans Pelicans,106,117,-11,Timberwolves,Pelicans,0
Memphis Grizzlies,Toronto Raptors,111,116,-5,Grizzlies,Raptors,0
New York Knicks,Chicago Bulls,116,100,16,Knicks,Bulls,0
Dallas Mavericks,Portland Trail Blazers,126,97,29,Mavericks,Blazers,0
Phoenix Suns,LA Clippers,122,131,-9,Suns,Clippers,0
Utah Jazz,Detroit Pistons,154,148,6,Jazz,Pistons,0
Los Angeles Lakers,Miami Heat,96,110,-14,Lakers,Heat,0
Sacramento Kings,Orlando Magic,138,135,3,Kings,Magic,0
San Antonio Spurs,Milwaukee Bucks,121,125,-4,Spurs,Bucks,0
Golden State Warriors,Denver Nuggets,127,130,-3,Warriors,Nuggets,0
Boston Celtics,Utah Jazz,126,97,29,Celtics,Jazz,0
Indiana Pacers,Atlanta Hawks,150,116,34,Pacers,Hawks,0
Cleveland Cavaliers,Washington Wizards,114,90,24,Cavaliers,Wizards,0
Philadelphia 76ers,New York Knicks,92,128,-36,76ers,Knicks,0
Brooklyn Nets,Oklahoma City Thunder,124,115,9,Nets,Thunder,0
Houston Rockets,Minnesota Timberwolves,95,122,-27,Rockets,Timberwolves,0
Chicago Bulls,Charlotte Hornets,104,91,13,Bulls,Hornets,0
New Orleans Pelicans,LA Clippers,95,111,-16,Pelicans,Clippers,0
Dallas Mavericks,Portland Trail Blazers,139,103,36,Mavericks,Blazers,0
Denver Nuggets,Orlando Magic,120,122,-2,Nuggets,Magic,0
Phoenix Suns,Miami Heat,113,97,16,Suns,Heat,0
Sacramento Kings,Toronto Raptors,135,130,5,Kings,Raptors,0
Los Angeles Lakers,Memphis Grizzlies,113,127,-14,Lakers,Grizzlies,0
Golden State Warriors,Detroit Pistons,113,109,4,Warriors,Pistons,0
Indiana Pacers,Boston Celtics,101,118,-17,Pacers,Celtics,0
Washington Wizards,New York Knicks,105,121,-16,Wizards,Knicks,0
Philadelphia 76ers,Utah Jazz,109,120,-11,76ers,Jazz,0
Houston Rockets,Milwaukee Bucks,112,108,4,Rockets,Bucks,0
Cleveland Cavaliers,San Antonio Spurs,117,115,2,Cavaliers,Spurs,0
Brooklyn Nets,Portland Trail Blazers,127,134,-7,Nets,Blazers,0
Sacramento Kings,New Orleans Pelicans,100,133,-33,Kings,Pelicans,0
Orlando Magic,Atlanta Hawks,117,110,7,Magic,Hawks,0
Dallas Mavericks,Minnesota Timberwolves,115,108,7,Mavericks,Timberwolves,0
Phoenix Suns,Memphis Grizzlies,115,121,-6,Suns,Grizzlies,0
Denver Nuggets,Detroit Pistons,131,114,17,Nuggets,Pistons,0
Golden State Warriors,Toronto Raptors,118,133,-15,Warriors,Raptors,0
Los Angeles Lakers,LA Clippers,106,103,3,Lakers,Clippers,0
Indiana Pacers,Boston Celtics,133,131,2,Pacers,Celtics,0
Washington Wizards,Oklahoma City Thunder,128,136,-8,Wizards,Thunder,0
Charlotte Hornets,Chicago Bulls,112,119,-7,Hornets,Bulls,0
Miami Heat,Houston Rockets,120,113,7,Heat,Rockets,0
Milwaukee Bucks,Utah Jazz,116,132,-16,Bucks,Jazz,0
LA Clippers,Phoenix Suns,138,111,27,Clippers,Suns,0
Orlando Magic,Minnesota Timberwolves,92,113,-21,Magic,Timberwolves,0
Detroit Pistons,Sacramento Kings,110,131,-21,Pistons,Kings,0
New York Knicks,Portland Trail Blazers,112,84,28,Knicks,Blazers,0
Dallas Mavericks,Memphis Grizzlies,103,120,-17,Mavericks,Grizzlies,0
Los Angeles Lakers,Toronto Raptors,132,131,1,Lakers,Raptors,0
Charlotte Hornets,Sacramento Kings,98,123,-25,Hornets,Kings,0
Indiana Pacers,Washington Wizards,112,104,8,Pacers,Wizards,0
Boston Celtics,Minnesota Timberwolves,127,120,7,Celtics,Timberwolves,0
Detroit Pistons,San Antonio Spurs,108,130,-22,Pistons,Spurs,0
Miami Heat,Oklahoma City Thunder,120,128,-8,Heat,Thunder,0
Atlanta Hawks,Philadelphia 76ers,139,132,7,Hawks,76ers,0
Chicago Bulls,Houston Rockets,124,119,5,Bulls,Rockets,0
Golden State Warriors,New Orleans Pelicans,105,141,-36,Warriors,Pelicans,0
Utah Jazz,Denver Nuggets,124,111,13,Jazz,Nuggets,0
LA Clippers,Toronto Raptors,126,120,6,Clippers,Raptors,0
Cleveland Cavaliers,Brooklyn Nets,111,102,9,Cavaliers,Nets,0
Milwaukee Bucks,Boston Celtics,135,102,33,Bucks,Celtics,0
Oklahoma City Thunder,Portland Trail Blazers,139,77,62,Thunder,Blazers,0
Dallas Mavericks,New York Knicks,128,124,4,Mavericks,Knicks,0
Los Angeles Lakers,Phoenix Suns,109,127,-18,Lakers,Suns,0
Atlanta Hawks,Indiana Pacers,108,126,-18,Hawks,Pacers,0
Detroit Pistons,Houston Rockets,110,112,-2,Pistons,Rockets,0
Philadelphia 76ers,Sacramento Kings,112,93,19,76ers,Kings,0
Memphis Grizzlies,LA Clippers,119,128,-9,Grizzlies,Clippers,0
San Antonio Spurs,Charlotte Hornets,135,99,36,Spurs,Hornets,0
Miami Heat,Orlando Magic,99,96,3,Heat,Magic,0
Minnesota Timberwolves,Portland Trail Blazers,116,93,23,Timberwolves,Blazers,0
Chicago Bulls,Golden State Warriors,131,140,-9,Bulls,Warriors,0
Utah Jazz,Toronto Raptors,145,113,32,Jazz,Raptors,0
Denver Nuggets,New Orleans Pelicans,125,113,12,Nuggets,Pelicans,0
Boston Celtics,Houston Rockets,145,113,32,Celtics,Rockets,0
Atlanta Hawks,Washington Wizards,99,127,-28,Hawks,Wizards,0
Oklahoma City Thunder,Orlando Magic,112,100,12,Thunder,Magic,0
Milwaukee Bucks,Golden State Warriors,129,118,11,Bucks,Warriors,0
Memphis Grizzlies,New York Knicks,94,106,-12,Grizzlies,Knicks,0
Dallas Mavericks,New Orleans Pelicans,108,118,-10,Mavericks,Pelicans,0
San Antonio Spurs,Chicago Bulls,116,122,-6,Spurs,Bulls,0
Utah Jazz,Los Angeles Lakers,132,125,7,Jazz,Lakers,0
Denver Nuggets,Indiana Pacers,117,109,8,Nuggets,Pacers,0
Miami Heat,Charlotte Hornets,104,87,17,Heat,Hornets,0
Milwaukee Bucks,Sacramento Kings,143,142,1,Bucks,Kings,0
Minnesota Timberwolves,LA Clippers,109,105,4,Timberwolves,Clippers,0
Portland Trail Blazers,Phoenix Suns,116,127,-11,Blazers,Suns,0
Philadelphia 76ers,Houston Rockets,124,115,9,76ers,Rockets,0
Dallas Mavericks,New Orleans Pelicans,125,120,5,Mavericks,Pelicans,0
Washington Wizards,Detroit Pistons,117,129,-12,Wizards,Pistons,0
New York Knicks,Orlando Magic,94,98,-4,Knicks,Magic,0
Atlanta Hawks,San Antonio Spurs,109,99,10,Hawks,Spurs,0
Memphis Grizzlies,Golden State Warriors,116,107,9,Grizzlies,Warriors,0
Cleveland Cavaliers,Chicago Bulls,109,91,18,Cavaliers,Bulls,0
Brooklyn Nets,Miami Heat,95,96,-1,Nets,Heat,0
Toronto Raptors,Boston Celtics,96,105,-9,Raptors,Celtics,0
Utah Jazz,Indiana Pacers,132,105,27,Jazz,Pacers,0
Los Angeles Lakers,Oklahoma City Thunder,112,105,7,Lakers,Thunder,0
Philadelphia 76ers,Denver Nuggets,126,121,5,76ers,Nuggets,0
Phoenix Suns,Sacramento Kings,119,117,2,Suns,Kings,0
LA Clippers,Oklahoma City Thunder,128,117,11,Clippers,Thunder,0
Detroit Pistons,Minnesota Timberwolves,117,124,-7,Pistons,Timberwolves,0
Cleveland Cavaliers,Milwaukee Bucks,135,95,40,Cavaliers,Bucks,0
New York Knicks,Houston Rockets,109,94,15,Knicks,Rockets,0
Toronto Raptors,Miami Heat,121,97,24,Raptors,Heat,0
Boston Celtics,San Antonio Spurs,117,98,19,Celtics,Spurs,0
Atlanta Hawks,Orlando Magic,106,104,2,Hawks,Magic,0
New Orleans Pelicans,Charlotte Hornets,132,112,20,Pelicans,Hornets,0
Los Angeles Lakers,Dallas Mavericks,127,110,17,Lakers,Mavericks,0
Utah Jazz,Golden State Warriors,N/A,N/A,#VALUE!,Jazz,Warriors,0
Portland Trail Blazers,Brooklyn Nets,105,103,2,Blazers,Nets,0
New York Knicks,Washington Wizards,113,109,4,Knicks,Wizards,0
Toronto Raptors,Chicago Bulls,110,116,-6,Raptors,Bulls,0
Utah Jazz,Oklahoma City Thunder,129,134,-5,Jazz,Thunder,0
Minnesota Timberwolves,Memphis Grizzlies,118,103,15,Timberwolves,Grizzlies,0
Sacramento Kings,Indiana Pacers,121,126,-5,Kings,Pacers,0
Charlotte Hornets,San Antonio Spurs,124,120,4,Hornets,Spurs,0
Orlando Magic,Philadelphia 76ers,109,124,-15,Magic,76ers,0
Boston Celtics,Denver Nuggets,100,102,-2,Celtics,Nuggets,0
New Orleans Pelicans,Phoenix Suns,109,123,-14,Pelicans,Suns,0
Miami Heat,Atlanta Hawks,108,109,-1,Heat,Hawks,0
Portland Trail Blazers,Indiana Pacers,118,115,3,Blazers,Pacers,0
Golden State Warriors,Dallas Mavericks,N/A,N/A,#VALUE!,Warriors,Mavericks,0
Los Angeles Lakers,Brooklyn Nets,112,130,-18,Lakers,Nets,0
Detroit Pistons,Milwaukee Bucks,135,141,-6,Pistons,Bucks,0
Washington Wizards,San Antonio Spurs,127,131,-4,Wizards,Spurs,0
Charlotte Hornets,Philadelphia 76ers,89,97,-8,Hornets,76ers,0
Atlanta Hawks,Cleveland Cavaliers,95,116,-21,Hawks,Cavaliers,0
New York Knicks,Toronto Raptors,126,100,26,Knicks,Raptors,0
Minnesota Timberwolves,Oklahoma City Thunder,97,102,-5,Timberwolves,Thunder,0
Chicago Bulls,Memphis Grizzlies,125,96,29,Bulls,Grizzlies,0
Houston Rockets,Utah Jazz,127,126,1,Rockets,Jazz,0
LA Clippers,Brooklyn Nets,125,114,11,Clippers,Nets,0
Orlando Magic,Miami Heat,105,87,18,Magic,Heat,0
Washington Wizards,Denver Nuggets,104,113,-9,Wizards,Nuggets,0
Houston Rockets,Boston Celtics,107,116,-9,Rockets,Celtics,0
Phoenix Suns,Indiana Pacers,117,110,7,Suns,Pacers,0
Los Angeles Lakers,Portland Trail Blazers,134,110,24,Lakers,Blazers,0
Detroit Pistons,Milwaukee Bucks,113,122,-9,Pistons,Bucks,0
Orlando Magic,Cleveland Cavaliers,99,126,-27,Magic,Cavaliers,0
Philadelphia 76ers,San Antonio Spurs,133,123,10,76ers,Spurs,0
Toronto Raptors,Memphis Grizzlies,100,108,-8,Raptors,Grizzlies,0
Minnesota Timberwolves,Charlotte Hornets,125,128,-3,Timberwolves,Hornets,0
Dallas Mavericks,Boston Celtics,110,119,-9,Mavericks,Celtics,0
Phoenix Suns,Chicago Bulls,115,113,2,Suns,Bulls,0
Sacramento Kings,Atlanta Hawks,122,107,15,Kings,Hawks,0
Indiana Pacers,Denver Nuggets,109,114,-5,Pacers,Nuggets,0
Brooklyn Nets,New York Knicks,103,108,-5,Nets,Knicks,0
Oklahoma City Thunder,Portland Trail Blazers,111,109,2,Thunder,Blazers,0
New Orleans Pelicans,Utah Jazz,153,124,29,Pelicans,Jazz,0
LA Clippers,Los Angeles Lakers,127,116,11,Clippers,Lakers,0
Washington Wizards,Minnesota Timberwolves,107,118,-11,Wizards,Timberwolves,0
Detroit Pistons,Charlotte Hornets,113,106,7,Pistons,Hornets,0
Miami Heat,Memphis Grizzlies,96,105,-9,Heat,Grizzlies,0
Houston Rockets,Portland Trail Blazers,131,137,-6,Rockets,Blazers,0
Milwaukee Bucks,Cleveland Cavaliers,126,116,10,Bucks,Cavaliers,0
Dallas Mavericks,Phoenix Suns,109,132,-23,Mavericks,Suns,0
San Antonio Spurs,Oklahoma City Thunder,114,140,-26,Spurs,Thunder,0
Golden State Warriors,Atlanta Hawks,134,112,22,Warriors,Hawks,0
Indiana Pacers,Philadelphia 76ers,134,122,12,Pacers,76ers,0
Washington Wizards,Utah Jazz,108,123,-15,Wizards,Jazz,0
Miami Heat,Boston Celtics,110,143,-33,Heat,Celtics,0
New York Knicks,Denver Nuggets,122,84,38,Knicks,Nuggets,0
Brooklyn Nets,Minnesota Timberwolves,94,96,-2,Nets,Timberwolves,0
Golden State Warriors,Sacramento Kings,133,134,-1,Warriors,Kings,0
Los Angeles Lakers,Chicago Bulls,141,132,9,Lakers,Bulls,0
Charlotte Hornets,Houston Rockets,104,138,-34,Hornets,Rockets,0
Indiana Pacers,Phoenix Suns,133,131,2,Pacers,Suns,0
Atlanta Hawks,Dallas Mavericks,143,148,-5,Hawks,Mavericks,0
Toronto Raptors,LA Clippers,107,127,-20,Raptors,Clippers,0
Memphis Grizzlies,Orlando Magic,107,106,1,Grizzlies,Magic,0
Milwaukee Bucks,Cleveland Cavaliers,100,112,-12,Bucks,Cavaliers,0
New Orleans Pelicans,Oklahoma City Thunder,83,107,-24,Pelicans,Thunder,0
San Antonio Spurs,Portland Trail Blazers,116,100,16,Spurs,Blazers,0
Detroit Pistons,Washington Wizards,104,118,-14,Pistons,Wizards,0
New York Knicks,Miami Heat,125,109,16,Knicks,Heat,0
Denver Nuggets,Philadelphia 76ers,111,105,6,Nuggets,76ers,0
Brooklyn Nets,Houston Rockets,106,104,2,Nets,Rockets,0
Charlotte Hornets,Utah Jazz,122,134,-12,Hornets,Jazz,0
Boston Celtics,LA Clippers,96,115,-19,Celtics,Clippers,0
Milwaukee Bucks,New Orleans Pelicans,141,117,24,Bucks,Pelicans,0
San Antonio Spurs,Minnesota Timberwolves,113,112,1,Spurs,Timberwolves,0
Golden State Warriors,Los Angeles Lakers,144,145,-1,Warriors,Lakers,0
Dallas Mavericks,Sacramento Kings,115,120,-5,Mavericks,Kings,0
Detroit Pistons,Oklahoma City Thunder,120,104,16,Pistons,Thunder,0
Indiana Pacers,Memphis Grizzlies,116,110,6,Pacers,Grizzlies,0
Atlanta Hawks,Toronto Raptors,126,125,1,Hawks,Raptors,0
Orlando Magic,Phoenix Suns,113,98,15,Magic,Suns,0
Portland Trail Blazers,Chicago Bulls,96,104,-8,Blazers,Bulls,0
Charlotte Hornets,New York Knicks,92,113,-21,Hornets,Knicks,0
Cleveland Cavaliers,LA Clippers,118,108,10,Cavaliers,Clippers,0
Miami Heat,Phoenix Suns,105,118,-13,Heat,Suns,0
Brooklyn Nets,Utah Jazz,147,114,33,Nets,Jazz,0
Boston Celtics,New Orleans Pelicans,118,112,6,Celtics,Pelicans,0
San Antonio Spurs,Washington Wizards,113,118,-5,Spurs,Wizards,0
Memphis Grizzlies,Sacramento Kings,94,103,-9,Grizzlies,Kings,0
Oklahoma City Thunder,Minnesota Timberwolves,101,107,-6,Thunder,Timberwolves,0
Houston Rockets,Los Angeles Lakers,135,119,16,Rockets,Lakers,0
Dallas Mavericks,Orlando Magic,131,129,2,Mavericks,Magic,0
Denver Nuggets,Milwaukee Bucks,113,107,6,Nuggets,Bucks,0
Portland Trail Blazers,Philadelphia 76ers,130,104,26,Blazers,76ers,0
New York Knicks,Utah Jazz,118,103,15,Knicks,Jazz,0
Atlanta Hawks,Los Angeles Lakers,138,122,16,Hawks,Lakers,0
Boston Celtics,Indiana Pacers,129,124,5,Celtics,Pacers,0
Chicago Bulls,Toronto Raptors,107,118,-11,Bulls,Raptors,0
Golden State Warriors,Philadelphia 76ers,119,107,12,Warriors,76ers,0
Charlotte Hornets,Chicago Bulls,110,117,-7,Hornets,Bulls,0
Washington Wizards,LA Clippers,109,125,-16,Wizards,Clippers,0
Cleveland Cavaliers,Detroit Pistons,128,121,7,Cavaliers,Pistons,0
Miami Heat,Sacramento Kings,115,106,9,Heat,Kings,0
Oklahoma City Thunder,Denver Nuggets,105,100,5,Thunder,Nuggets,0
Houston Rockets,New Orleans Pelicans,99,110,-11,Rockets,Pelicans,0
Minnesota Timberwolves,Dallas Mavericks,121,87,34,Timberwolves,Mavericks,0
San Antonio Spurs,Orlando Magic,98,108,-10,Spurs,Magic,0
